7.1.83 Rob-21
Location,Type,Scene,Dungeon/Overworld
Links Pocket,Boss,,
Queen Gohma,Boss,,
King Dodongo,Boss,,
Barinade,Boss,,
Phantom Ganon,Boss,,
Volvagia,Boss,,
Morpha,Boss,,
Bongo Bongo,Boss,,
Twinrova,Boss,,
Gift from Sages,Cutscene,,
Song from Impa,Song,,Overworld
Song from Malon,Song,,Overworld
Song from Saria,Song,,Overworld
Song from Royal Familys Tomb,Song,,Overworld
Song from Ocarina of Time,Song,,Overworld
Song from Windmill,Song,,Overworld
Sheik in Forest,Song,,Overworld
Sheik in Crater,Song,,Overworld
Sheik in Ice Cavern,Song,,Overworld
Sheik at Colossus,Song,,Overworld
Sheik in Kakariko,Song,,Overworld
Sheik at Temple,Song,,Overworld
KF Midos Top Left Chest,Chest,Mido's House,Overworld
KF Midos Top Right Chest,Chest,Mido's House,Overworld
KF Midos Bottom Left Chest,Chest,Mido's House,Overworld
KF Midos Bottom Right Chest,Chest,Mido's House,Overworld
KF Kokiri Sword Chest,Chest,Kokiri Forest,Overworld
KF Storms Grotto Chest,Chest,Grottos,Overworld
KF Links House Cow,NPC,Link's House,Overworld
KF GS Know It All House,GS Token,Thieves' Hideout,Overworld
KF GS Bean Patch,GS Token,Thieves' Hideout,Overworld
KF GS House of Twins,GS Token,Thieves' Hideout,Overworld
KF Shop Item 1,Shop,Kokiri Shop,Overworld
KF Shop Item 2,Shop,Kokiri Shop,Overworld
KF Shop Item 3,Shop,Kokiri Shop,Overworld
KF Shop Item 4,Shop,Kokiri Shop,Overworld
KF Shop Item 5,Shop,Kokiri Shop,Overworld
KF Shop Item 6,Shop,Kokiri Shop,Overworld
KF Shop Item 7,Shop,Kokiri Shop,Overworld
KF Shop Item 8,Shop,Kokiri Shop,Overworld
KF Behind Midos Blue Rupee,Freestanding,Kokiri Forest,Overworld
KF Boulder Maze Blue Rupee 1,Freestanding,Kokiri Forest,Overworld
KF Boulder Maze Blue Rupee 2,Freestanding,Kokiri Forest,Overworld
KF End of Bridge Blue Rupee,Freestanding,Kokiri Forest,Overworld
KF Top of Sarias Recovery Heart 1,Freestanding,Kokiri Forest,Overworld
KF Top of Sarias Recovery Heart 2,Freestanding,Kokiri Forest,Overworld
KF Top of Sarias Recovery Heart 3,Freestanding,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 1,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 2,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 3,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 4,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 5,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Green Rupee 6,RupeeTower,Kokiri Forest,Overworld
KF Bean Platform Red Rupee,RupeeTower,Kokiri Forest,Overworld
KF Grass Near Ramp Green Rupee 1,Freestanding,Kokiri Forest,Overworld
KF Grass Near Ramp Green Rupee 2,Freestanding,Kokiri Forest,Overworld
KF Grass Near Midos Green Rupee 1,Freestanding,Kokiri Forest,Overworld
KF Grass Near Midos Green Rupee 2,Freestanding,Kokiri Forest,Overworld
KF Sarias House Recovery Heart 1,Freestanding,Saria's House,Overworld
KF Sarias House Recovery Heart 2,Freestanding,Saria's House,Overworld
KF Sarias House Recovery Heart 3,Freestanding,Saria's House,Overworld
KF Sarias House Recovery Heart 4,Freestanding,Saria's House,Overworld
KF Links House Pot,Pot,Link's House,Overworld
KF Know it All House Pot 1,Pot,Know-It-All Brothers' House,Overworld
KF Know it All House Pot 2,Pot,Know-It-All Brothers' House,Overworld
KF House of Twins Pot 1,Pot,House of Twins,Overworld
KF House of Twins Pot 2,Pot,House of Twins,Overworld
KF Storms Grotto Beehive 1,Beehive,Grottos,Overworld
KF Storms Grotto Beehive 2,Beehive,Grottos,Overworld
KF Deku Tree Gossip Stone (Left) Drop,GossipStone,Kokiri Forest,Overworld
KF Deku Tree Gossip Stone (Right) Drop,GossipStone,Kokiri Forest,Overworld
KF Gossip Stone Drop,GossipStone,Kokiri Forest,Overworld
KF Storms Grotto Gossip Stone Drop,GossipStone,Grottos,Overworld
KF Adult Platforms Octorok,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Shop Octorok,EnemyDrop,Kokiri Forest,Overworld
KF Adult Path To Deku Skulltula,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Midos House Scrub,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Links House Scrub,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Lost Woods Scrub,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Field Deku Baba,EnemyDrop,Kokiri Forest,Overworld
KF Adult Inside Fence Deku Baba,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Links House Deku Baba,EnemyDrop,Kokiri Forest,Overworld
KF Adult Near Path To Deku Tree Deku Baba,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 1,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 2,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 3,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 4,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 5,EnemyDrop,Kokiri Forest,Overworld
KF Adult Deku Tree Deku Baba 6,EnemyDrop,Kokiri Forest,Overworld
KF Child Stepping Stones Wonderitem,Wonderitem,Kokiri Forest,Overworld
KF Child Water Wonderitem,Wonderitem,Kokiri Forest,Overworld
KF Child Sign Wonderitem,Wonderitem,Kokiri Forest,Overworld
KF Child Training Wonderitem 1,Wonderitem,Kokiri Forest,Overworld
