EffectOverlayTable - 0x800E7C40
entries are 0x1C in size.
there are 0x25 entries

Code file: 0x00A87000 loads at 0x800110A0
Effect table: 0xB5DBA0

Index       VROM Start     VROM END   VRAM START     VRAM_END   Loaded     Init vars
00:         00EA80B0       00EA88E0   80B2C980       80B2D1B0   00000000   80B2D0C0   01 00 00 00 
01:         00EA88E0       00EA8F50   80B2D1B0       80B2D820   00000000   80B2D770   01 00 00 00 
02:         00EA8F50       00EA9370   80B2D820       80B2DC40   00000000   80B2DBB0   01 00 00 00 
03:         00EA9370       00EA9CA0   80B2DC40       80B2E570   00000000   80B2E490   01 00 00 00 
04:         00EA9CA0       00EAA030   80B2E570       80B2E900   00000000   80B2E8A0   01 00 00 00 
05:         00EAA030       00EAA5E0   80B2E900       80B2EEB0   00000000   80B2EE30   01 00 00 00 
06:         00EAA5E0       00EAAAD0   80B2EEB0       80B2F3A0   00000000   80B2F330   01 00 00 00 
07:         00EAAAD0       00EAAF50   80B2F3A0       80B2F820   00000000   80B2F7C0   01 00 00 00 
08:         00000000       00000000   00000000       00000000   00000000   00000000   00 00 00 00 
09:         00EAAF50       00EAB4B0   80B2F820       80B2FD80   00000000   80B2FD10   01 00 00 00 
0A:         00EAB4B0       00EAB960   80B2FD80       80B30230   00000000   80B30180   01 00 00 00 
0B:         00EAB960       00EABBC0   80B30230       80B30490   00000000   80B30410   01 00 00 00 
0C:         00EABBC0       00EABE50   80B30490       80B30720   00000000   80B306A0   01 00 00 00 
0D:         00EABE50       00EAC520   80B30720       80B30DF0   00000000   80B30D30   01 00 00 00 
0E:         00EAC520       00EACAB0   80B30DF0       80B31380   00000000   80B31318   01 00 00 00 
0F:         00EACAB0       00EAD0F0   80B31380       80B319C0   00000000   80B31920   01 00 00 00 
10:         00EAD0F0       00EAD490   80B319C0       80B31D60   00000000   80B31CE0   01 00 00 00
11:         00EAD490       00EADB60   80B31D60       80B32430   00000000   80B32380   01 00 00 00 
12:         00EADB60       00EADE90   80B32430       80B32760   00000000   80B326F0   01 00 00 00 
13:         00EADE90       00EAE3A0   80B32760       80B32C70   00000000   80B32C14   01 00 00 00 
14:         00EAE3A0       00EAE730   80B32C70       80B33000   00000000   80B32F40   01 00 00 00 
15:         00EAE730       00EAEC80   80B33000       80B33550   00000000   80B334F0   01 00 00 00 
16:         00EAEC80       00EAFC00   80B33550       80B344D0   00000000   80B33F00   01 00 00 00 
17:         00EAFC00       00EB0030   80B344D0       80B34900   00000000   80B348A0   01 00 00 00 
